year	imdbId	title	originalTitle	genre1	genre2	genre3	boxOffice	rank	category	winner
2016	1596363	The Big Short: Le casse du siècle	The Big Short	Biography	Comedy	Drama	73772863	41	Best Adapted Screenplay	true
2016	2381111	Brooklyn	Brooklyn	Drama	Romance		40233411	67	Best Adapted Screenplay	false
2016	2402927	Carol	Carol	Drama	Romance		13347065	110	Best Adapted Screenplay	false
2016	3170832	Room	Room	Drama	Thriller		15411557	104	Best Adapted Screenplay	false
2016	3659388	Seul sur Mars	The Martian	Adventure	Drama	Sci-Fi	239855346	8	Best Adapted Screenplay	false
2016	1663202	The Revenant	The Revenant	Action	Adventure	Biography	192819788	13	Best Cinematography	true
2016	2402927	Carol	Carol	Drama	Romance		13347065	110	Best Cinematography	false
2016	3460252	Les huit salopards	The Hateful Eight	Crime	Drama	Mystery	56823286	51	Best Cinematography	false
2016	1392190	Mad Max: Fury Road	Mad Max: Fury Road	Action	Adventure	Sci-Fi	161318171	21	Best Cinematography	false
2016	3397884	Sicario	Sicario	Action	Crime	Drama	49233757	57	Best Cinematography	false
2016	470752	Ex Machina	Ex Machina	Drama	Mystery	Sci-Fi	26715105	105	Best Visual Effects	true
2016	1392190	Mad Max: Fury Road	Mad Max: Fury Road	Action	Adventure	Sci-Fi	161318171	21	Best Visual Effects	false
2016	3659388	Seul sur Mars	The Martian	Adventure	Drama	Sci-Fi	239855346	8	Best Visual Effects	false
2016	2488496	Star Wars: Episode VII - Le réveil de la Force	Star Wars: Episode VII - The Force Awakens	Action	Adventure	Fantasy	983495336	1	Best Visual Effects	false
2016	1663202	The Revenant	The Revenant	Action	Adventure	Biography	192819788	13	Best Visual Effects	false
2015	2562232	Birdman	Birdman or (The Unexpected Virtue of Ignorance)	Comedy	Drama		44881033	81	Best Picture	true
2015	2179136	American Sniper	American Sniper	Action	Biography	Drama	371133954	1	Best Picture	false
2015	1065073	Boyhood	Boyhood	Drama			26902773	106	Best Picture	false
2015	2084970	Imitation Game	The Imitation Game	Biography	Drama	Thriller	96593223	37	Best Picture	false
2015	1020072	Selma	Selma	Biography	Drama	History	55201522	64	Best Picture	false
2015	2278388	The Grand Budapest Hotel	The Grand Budapest Hotel	Adventure	Comedy	Drama	62646337	58	Best Picture	false
2015	2980516	Une merveilleuse histoire du temps	The Theory of Everything	Biography	Drama	Romance	38047149	88	Best Picture	false
2015	2582802	Whiplash	Whiplash	Drama	Music		13877520	131	Best Picture	false
2015	2562232	Birdman	Birdman	Comedy	Drama		44881033	81	Best Directing	true
2015	1100089	Foxcatcher	Foxcatcher	Biography	Drama	Sport	12822078	133	Best Directing	false
2015	2084970	Imitation Game	Imitation Game	Biography	Drama	Thriller	96593223	37	Best Directing	false
2015	1065073	Boyhood	Boyhood	Drama			26902773	106	Best Directing	false
2015	2278388	The Grand Budapest Hotel	The Grand Budapest Hotel	Adventure	Comedy	Drama	62646337	58	Best Directing	false
2015	2562232	Birdman	Birdman or (The Unexpected Virtue of Ignorance)	Comedy	Drama		44881033	81	Best Original Screenplay	true
2015	1065073	Boyhood	Boyhood	Drama			26902773	106	Best Original Screenplay	false
2015	1100089	Foxcatcher	Foxcatcher	Biography	Drama	Sport	12822078	133	Best Original Screenplay	false
2015	2872718	Night Call	Nightcrawler	Crime	Drama	Thriller	34324091	94	Best Original Screenplay	false
2015	2278388	The Grand Budapest Hotel	The Grand Budapest Hotel	Adventure	Comedy	Drama	62646337	58	Best Original Screenplay	false
2015	2084970	Imitation Game	The Imitation Game	Biography	Drama	Thriller	96593223	37	Best Adapted Screenplay	true
2015	2179136	American Sniper	American Sniper	Action	Biography	Drama	371133954	1	Best Adapted Screenplay	false
2015	1791528	Inherent Vice	Inherent Vice	Comedy	Crime	Drama	8597633	140	Best Adapted Screenplay	false
2015	2980516	Une merveilleuse histoire du temps	The Theory of Everything	Biography	Drama	Romance	38047149	88	Best Adapted Screenplay	false
2015	2582802	Whiplash	Whiplash	Drama	Music		13877520	131	Best Adapted Screenplay	false
2015	2562232	Birdman	Birdman or (The Unexpected Virtue of Ignorance)	Comedy	Drama		44881033	81	Best Cinematography	true
2015	2718492	Ida	Ida	Drama			4056683	154	Best Cinematography	false
2015	1809398	Invincible	Unbroken	Biography	Drama	Sport	122576168	27	Best Cinematography	false
2015	2473794	Mr. Turner	Mr. Turner	Biography	Drama	History	4196058	152	Best Cinematography	false
2015	2278388	The Grand Budapest Hotel	The Grand Budapest Hotel	Adventure	Comedy	Drama	62646337	58	Best Cinematography	false
2015	816692	Interstellar	Interstellar	Adventure	Drama	Sci-Fi	199301218	16	Best Visual Effects	true
2015	1843866	Captain America: Le soldat de l'hiver	Captain America: The Winter Soldier	Action	Adventure	Sci-Fi	275352566	4	Best Visual Effects	false
2015	2103281	La planète des singes: L'affrontement	Dawn of the Planet of the Apes	Action	Adventure	Drama	221058324	11	Best Visual Effects	false
2015	2015381	Les gardiens de la galaxie	Guardians of the Galaxy	Action	Adventure	Comedy	353167196	3	Best Visual Effects	false
2015	1877832	X-Men: Days of Future Past	X-Men: Days of Future Past	Action	Adventure	Sci-Fi	247956826	9	Best Visual Effects	false
2014	2024544	12 Years a Slave	12 Years a Slave	Biography	Drama	History	60072312	62	Best Picture	true
2014	1800241	American Bluff	American Hustle	Crime	Drama		159124875	17	Best Picture	false
2014	1535109	Capitaine Phillips	Captain Phillips	Biography	Drama	Thriller	113526906	32	Best Picture	false
2014	790636	Dallas Buyers Club	Dallas Buyers Club	Biography	Drama		28936182	93	Best Picture	false
2014	1454468	Gravity	Gravity	Drama	Sci-Fi	Thriller	290538267	6	Best Picture	false
2014	1798709	Her	Her	Drama	Romance	Sci-Fi	27102346	98	Best Picture	false
2014	993846	Le loup de Wall Street	The Wolf of Wall Street	Biography	Comedy	Crime	123914735	28	Best Picture	false
2014	1821549	Nebraska	Nebraska	Adventure	Comedy	Drama	18714206	111	Best Picture	false
2014	2431286	Philomena	Philomena	Biography	Drama		39970182	79	Best Picture	false
2014	1454468	Gravity	Gravity	Drama	Sci-Fi	Thriller	290538267	6	Best Directing	true
2014	1821549	Nebraska	Nebraska	Adventure	Comedy	Drama	18714206	111	Best Directing	false
2014	1800241	American Bluff	American Bluff	Crime	Drama		159124875	17	Best Directing	false
2014	993846	Le loup de Wall Street	Le loup de Wall Street	Biography	Comedy	Crime	123914735	28	Best Directing	false
2014	2024544	12 Years a Slave	12 Years a Slave	Biography	Drama	History	60072312	62	Best Directing	false
2014	1798709	Her	Her	Drama	Romance	Sci-Fi	27102346	98	Best Original Screenplay	true
2014	1800241	American Bluff	American Hustle	Crime	Drama		159124875	17	Best Original Screenplay	false
2014	2334873	Blue Jasmine	Blue Jasmine	Drama			35409809	85	Best Original Screenplay	false
2014	790636	Dallas Buyers Club	Dallas Buyers Club	Biography	Drama		28936182	93	Best Original Screenplay	false
2014	1821549	Nebraska	Nebraska	Adventure	Comedy	Drama	18714206	111	Best Original Screenplay	false
2014	2024544	12 Years a Slave	12 Years a Slave	Biography	Drama	History	60072312	62	Best Adapted Screenplay	true
2014	2209418	Before Midnight	Before Midnight	Drama	Romance		8601504	135	Best Adapted Screenplay	false
2014	1535109	Capitaine Phillips	Captain Phillips	Biography	Drama	Thriller	113526906	32	Best Adapted Screenplay	false
2014	993846	Le loup de Wall Street	The Wolf of Wall Street	Biography	Comedy	Crime	123914735	28	Best Adapted Screenplay	false
2014	2431286	Philomena	Philomena	Biography	Drama		39970182	79	Best Adapted Screenplay	false
2014	1454468	Gravity	Gravity	Drama	Sci-Fi	Thriller	290538267	6	Best Cinematography	true
2014	2042568	Inside Llewyn Davis	Inside Llewyn Davis	Drama	Music		14029438	122	Best Cinematography	false
2014	1821549	Nebraska	Nebraska	Adventure	Comedy	Drama	18714206	111	Best Cinematography	false
2014	1392214	Prisoners	Prisoners	Crime	Drama	Mystery	64662440	58	Best Cinematography	false
2014	1462900	The Grandmaster	Yi dai zong shi	Action	Biography	Drama	6990656	143	Best Cinematography	false
2014	1454468	Gravity	Gravity	Drama	Sci-Fi	Thriller	290538267	6	Best Visual Effects	true
2014	1300854	Iron Man 3	Iron Man 3	Action	Adventure	Sci-Fi	433554833	2	Best Visual Effects	false
2014	1170358	Le Hobbit: La Désolation de Smaug	The Hobbit: The Desolation of Smaug	Adventure	Fantasy		273868866	8	Best Visual Effects	false
2014	1210819	Lone Ranger, naissance d'un héros	The Lone Ranger	Action	Adventure	Western	94660241	40	Best Visual Effects	false
2014	1408101	Star Trek Into Darkness	Star Trek: Into Darkness	Action	Adventure	Sci-Fi	242505380	11	Best Visual Effects	false
2013	1024648	Argo	Argo	Biography	Drama	Thriller	146907543	22	Best Picture	true
2013	1602620	Amour	Amour	Drama	Romance		7278651	130	Best Picture	false
2013	1853728	Django Unchained	Django Unchained	Drama	Western		175829868	15	Best Picture	false
2013	1045658	Happiness Therapy	Silver Linings Playbook	Comedy	Drama	Romance	142660394	23	Best Picture	false
2013	454876	L'odyssée de Pi	Life of Pi	Adventure	Drama	Fantasy	134985984	27	Best Picture	false
2013	1707386	Les Misérables	Les Misérables	Drama	History	Musical	160714551	18	Best Picture	false
